GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
conta-bancaria,br.edu.exemplo,Heap,5,153,1,23,2,35,2,16,1,5
conta-bancaria,br.edu.exemplo,HeapMain,29,62,1,7,10,14,3,5,2,2
